geo,Country,year,Consumption Industry,Consumption Households,Consumption Transport,REN Share,REN Share Electricity,REN Share Heat-Cool,REN Share Transport,Price+Taxes,Price
DK,Denmark,2018-01-01,2318.685,4450.344,4482.557,35.159,62.394,44.968,6.92,0.31245,0.10635
EE,Estonia,2018-01-01,485.921,941.042,834.796,29.97,19.679,53.671,3.315,0.1383,0.10185
EL,Greece,2018-01-01,2738.854,3903.48,5897.204,18.001,26.001,30.123,4.108,0.1659,0.11285
ES,Spain,2018-01-01,21262.424,15178.832,32513.6,17.023,35.236,16.135,6.938,0.243,0.191
FI,Finland,2018-01-01,11038.184,5691.11,4241.568,41.185,36.539,54.905,14.772,0.1655,0.1109
FR,France,2018-01-01,28105.929,41029.548,46176.166,16.384,21.131,21.216,8.963,0.17735,0.1151
HR,Croatia,2018-01-01,1161.853,2298.895,2146.863,28.047,48.139,36.65,2.582,0.1316,0.1023999999999999
HU,Hungary,2018-01-01,4453.878,5818.115,4790.228,12.548,8.306,18.204,7.746,0.11205,0.08825
IE,Ireland,2018-01-01,2272.157,2950.805,4135.463,10.942,33.317,6.381,7.186,0.2454,0.1926
IS,Iceland,2018-01-01,1401.396,505.489,369.539,77.173,98.497,79.949,8.396,0.1501,0.1187
IT,Italy,2018-01-01,24663.854,31905.559,35579.484,17.796,33.93,19.279,7.659,0.2113999999999999,0.13505
LI,Liechtenstein,2018-01-01,,,,,,,,0.1939,0.16705
LT,Lithuania,2018-01-01,1106.588,1511.606,2081.494,24.695,18.408,46.016,4.333,0.1097,0.0771
LU,Luxembourg,2018-01-01,648.871,500.518,2101.34,8.942,9.115,8.362,6.596,0.1681,0.12925
LV,Latvia,2018-01-01,897.845,1231.009,1108.725,40.019,53.499,55.413,4.729,0.1521,0.1038
MT,Malta,2018-01-01,58.835,93.033,227.773,7.914,7.702,22.825,8.019,0.1296,0.12195
NL,Netherlands,2018-01-01,13668.95,9551.684,10430.531,7.394,15.171,6.16,9.483,0.18,0.127
PL,Poland,2018-01-01,16327.935,22557.493,22316.791,14.936,13.027,21.473,5.72,0.1402999999999999,0.08975
PT,Portugal,2018-01-01,4553.901,2877.758,5847.575,30.203,52.186,40.924,9.037,0.2269499999999999,0.10175
RO,Romania,2018-01-01,6612.433,7775.08,6303.748,23.875,41.793,25.434,6.342,0.1325,0.0977
SE,Sweden,2018-01-01,10925.172,7490.34,7127.429,53.916,66.228,63.301,29.696,0.19795,0.1261
SI,Slovenia,2018-01-01,1319.176,1101.397,1974.63,21.378,32.307,32.337,5.48,0.16255,0.11165
SK,Slovakia,2018-01-01,3662.539,2546.007,2744.051,11.896,21.499,10.599,6.988,0.1513999999999999,0.08955
AT,Austria,2019-01-01,7542.285,6687.86,8830.326,33.755,75.067,33.929,10.051,0.2054,0.1332499999999999
BE,Belgium,2019-01-01,10692.196,7503.961,8839.793,9.929,20.817,8.319,6.817,0.28495,0.1951
BG,Bulgaria,2019-01-01,2678.806,2162.252,3413.546,21.545,23.509,35.423,7.893,0.09775,0.08145
CY,Cyprus,2019-01-01,228.648,359.703,692.28,13.777,9.756,35.051,3.316,0.2219499999999999,0.15605
CZ,Czechia,2019-01-01,6618.619,6963.387,6778.778,16.239,14.046,22.632,7.841,0.1759,0.12465
DE,Germany,2019-01-01,55649.346,57743.03,56220.462,17.266,40.604,14.504,7.63,0.2983,0.1397
DK,Denmark,2019-01-01,2257.662,4389.392,4425.357,37.02,65.347,47.302,7.11,0.2954,0.1063
EE,Estonia,2019-01-01,459.307,951.351,839.841,31.73,21.998,52.193,6.243,0.1384,0.10045
EL,Greece,2019-01-01,2587.606,4099.875,6045.183,19.633,31.295,30.048,4.049,0.1573,0.1164999999999999
ES,Spain,2019-01-01,21348.181,14445.322,32915.106,17.852,37.131,17.203,7.61,0.23985,0.13065
FI,Finland,2019-01-01,10980.131,5631.035,4178.021,42.807,37.969,56.884,14.845,0.17585,0.1187
FR,France,2019-01-01,27605.17,40771.075,45890.949,17.174,22.389,22.36,9.248,0.18455,0.1204
HR,Croatia,2019-01-01,1172.434,2238.586,2235.149,28.466,49.783,36.791,5.855,0.1322499999999999,0.1028999999999999
HU,Hungary,2019-01-01,4459.617,5676.869,5070.454,12.634,9.969,18.16,8.057,0.11085,0.0873
IE,Ireland,2019-01-01,2269.197,2868.37,4165.639,11.979,36.46,6.344,8.917,0.24845,0.2078499999999999
IS,Iceland,2019-01-01,1315.423,454.055,360.095,78.612,100.64,80.896,9.292,0.143,0.11315
